category,adj,theme
adverb,actively,
adverb,angrily,
adverb,badly,
adverb,briefly,
adverb,cautiously,
adverb,cleverly,
adverb,clumbsily,
adverb,diligently,
adverb,eagerly,
adverb,endlessly,
adverb,furiously,
adverb,greedily,
adverb,half-heartedly,
adverb,happily,
adverb,hesitantly,
adverb,incessantly,
adverb,loudly,
adverb,patiently,
adverb,politely,
adverb,poorly,
adverb,quickly,
adverb,quietly,
adverb,rapidly,
adverb,relentlessly,
adverb,rudely,
adverb,sadly,
adverb,seldomly,
adverb,skillfully,
adverb,slowly,
adverb,vigorously,
adverb,well,
advern,needlessly,
aniamte,genderless,
aniamte,seductive,
aniamte,statuesque,
animate,abominable,
animate,abusive,
animate,active,
animate,admirable,
animate,adolescent,
animate,adorable,
animate,ageing,
animate,aggressive,
animate,agreeable,
animate,all-powerful,fantasy
animate,all-seeing,fantasy
animate,alluring,
animate,aloof,
animate,altruistic,
animate,ambitious,
animate,angelic,
animate,angry,
animate,annoying,
animate,anorexic,
animate,anxious,
animate,apathetic,
animate,arrogant,
animate,arthritic,
animate,articulate,
animate,attractive,
animate,austere,
animate,authoritative,
animate,balding,
animate,bearded,
animate,bearded,
animate,beautiful,
animate,bedridden,
animate,benevolent,
animate,bereaved,
animate,bespectacled,
animate,bigoted,
animate,bitter,
animate,blameworthy,
animate,blind,
animate,bloated,
animate,blossoming,
animate,bold,
animate,boring,
animate,bougie,modern
animate,brilliant,
animate,brutish,
animate,busy,
animate,caged,
animate,callous,
animate,cankerous,
animate,care-free,
animate,careful,
animate,careless,
animate,cautious,
animate,chain-smoking,modern
animate,charistmatic,
animate,charitable,
animate,charming,
animate,chatty,
animate,cheerful,
animate,childish,
animate,chill,modern
animate,chipper,
animate,chubby,
animate,clairvoyant,
animate,clever,
animate,clingy,
animate,clockwork,fantasy
animate,cloned,scifi
animate,clumbsy,
animate,cold-hearted,
animate,conceited,
animate,condescending,
animate,confident,
animate,conservative,
animate,constipated,
animate,content,
animate,cool,modern
animate,corporate,scifi
animate,cowardly,
animate,crass,
animate,craven,
animate,crazy,
animate,creative,
animate,cruel,
animate,curious,
animate,cyberpunk,scifi
animate,cyborg,scifi
animate,cynical,
animate,dainty,
animate,dapper,
animate,dastardly,
animate,deaf,
animate,decrepit,
animate,delusional,
animate,demanding,
animate,deplorable,
animate,depressed,
animate,deranged,
animate,destitute,
animate,detestable,
animate,diabetic,
animate,diligent,
animate,diplomatic,
animate,disagreeable,
animate,discontent,
animate,diseased,
animate,dishonorable,
animate,disreputable,
animate,disrespectful,
animate,driven,
animate,drunken,
animate,dull,
animate,eager,
animate,educated,
animate,elderly,
animate,elven,fantasy
animate,energetic,
animate,entitled,
animate,enviable,
animate,envious,
animate,errorless,
animate,evil,
animate,exalted,
animate,expressive,
animate,faithful,
animate,famous,
animate,fanatical,
animate,fast-talking,
animate,fat,
animate,feeble,
animate,fertile,
animate,fickle,
animate,foolish,
animate,forceful,
animate,forgtetful,
animate,foul-mouthed,
animate,foxy,
animate,friendly,
animate,frumpy,
animate,funky,modern
animate,furious,
animate,garbage,modern
animate,gaunt,
animate,generous,
animate,gentle,
animate,ghostly,
animate,gleeful,
animate,glum,
animate,gluttonous,
animate,good-looking,
animate,gorgeous,
animate,graceful,
animate,greedy,
animate,greedy,
animate,gregarious,
animate,grouchy,
animate,grumpy,
animate,hairless,
animate,hairy,
animate,handsome,
animate,hapless,
animate,happy,
animate,hard-working,
animate,has-been,
animate,healthy,
animate,heartbroken,
animate,heinous,
animate,heroic,
animate,hesitant,
animate,hideous,
animate,homicidal,
animate,honest,
animate,honorable,
animate,hopeless,
animate,humble,
animate,hungry,
animate,hygenic,
animate,hyperactive,
animate,hypocritical,
