category,singular,plural,prep,theme
abstract,anger,,,
abstract,anthropology,,,modern
abstract,archaeology,,,modern
abstract,art,,,
abstract,authority,,,
abstract,aviation,,,modern
abstract,biology,,,
abstract,chaos,,,
abstract,conciousness,,,
abstract,confusion,,,
abstract,cosmology,,,
abstract,cybernetics,,,scifi
abstract,deception,,,
abstract,desire,,,
abstract,despair,,,
abstract,destiny,,,
abstract,diplomacy,,,
abstract,dreams,,,
abstract,duty,,,
abstract,ecology,,,modern
abstract,economics,,,
abstract,emptiness,,,
abstract,equality,,,
abstract,espionage,,,
abstract,euphoria,,,
abstract,fate,,,
abstract,fear,,,
abstract,freedom,,,
abstract,growth,,,
abstract,hapiness,,,
abstract,hard work,,,
abstract,hatred,,,
abstract,history,,,
abstract,hope,,,
abstract,hubris,,,
abstract,ignorance,,,
abstract,imagination,,,
abstract,journalism,,,modern
abstract,justice,,,
abstract,knowledge,,,
abstract,language,,,
abstract,laziness,,,
abstract,liberty,,,
abstract,literature,,,
abstract,loss,,,
abstract,love,,,
abstract,magic,,,fantasy
abstract,medicine,,,
abstract,memes,,,modern
abstract,memory,,,
abstract,music,,,
abstract,mystery,,,
abstract,nightmares,,,
abstract,oppulence,,,
abstract,order,,,
abstract,pain,,,
abstract,paleontology,,,modern
abstract,peace,,,
abstract,philosophy,,,
abstract,physics,,,modern
abstract,poetry,,,
abstract,privacy,,,
abstract,procrastination,,,
abstract,psychiatry,,,modern
abstract,rage,,,
abstract,reality,,,
abstract,religion,,,
abstract,righteousness,,,
abstract,robotics,,,scifi
abstract,rocketry,,,modern
abstract,sadness,,,
abstract,schadenfreude,,,
abstract,science,,,
abstract,security,,,
abstract,servitude,,,
abstract,sleep,,,
abstract,sociology,,,modern
abstract,solitude,,,
abstract,sonder,,,
abstract,sorcery,,,fantasy
abstract,sports,,,
abstract,squalor,,,
abstract,technology,,,
abstract,the ineffable,,,
abstract,time,,,
abstract,time travel,,,scifi
abstract,truth,,,
abstract,TV sports,,,modern
abstract,urban planning,,,modern
abstract,vexation,,,
abstract,wizardry,,,fantasy
abstract,wrath,,,
abstract,wrongfulness,,,
animate,A.I.,A.I.s,,scifi
animate,activist,activists,,modern
animate,actor,actors,,
animate,actress,actresses,,
animate,administrator,administrators,,
animate,admiral,admirals,,
animate,advisor,advisors,,
animate,alchemist,alchemists,,historic
animate,alien,aliens,,scifi
animate,ambassador,ambassadors,,
animate,android,androids,,scifi
animate,angel,angels,,fantasy
animate,ant,ants,,
animate,anthropologist,anthropologists,,modern
animate,ape,apes,,
animate,apprentice,apprentices,,
animate,archaeologist,archaeologists,,modern
animate,archer,archers,,historic
animate,architect,architects,,
animate,aristrocrat,aristocrats,,
animate,arsonist,arsonists,,
animate,artist,artists,,
animate,assassin,assassins,,
animate,astrologer,astrologers,,
animate,astronaut,astronauts,,modern
animate,astronomer,astronomers,,
animate,athlete,athletes,,
animate,aunt,aunts,,
animate,author,authors,,
animate,baby,babies,,
animate,babysitter,babysitters,modern,
animate,badger,badgers,,
animate,baker,bakers,,
animate,ballerina,ballerinas,,modern
animate,bandit,bandits,,
animate,banker,bankers,,
animate,banshee,banshees,,fantasy
animate,barbarian,barbarians,,historic
animate,barber,barbers,,
animate,bard,bards,,historic
animate,barista,baristas,,
animate,baron,barons,,historic
animate,baroness,baronesses,,historic
animate,bartender,bartenders,,
animate,basilisk,basilisks,,fantasy
animate,bat,bats,,
animate,bear,bears,,
animate,beast,beasts,,fantasy
animate,beautician,beauticians,,modern
animate,beaver,beavers,,
animate,bee,bees,,
animate,beetle,beetles,,
animate,beggar,beggars,,
animate,bigfoot,bigfoots,,modern
animate,biker,bikers,,modern
animate,biologist,biologists,,
animate,bird,birds,,
animate,bishop,bishops,,
animate,black-belt,black-belts,,modern
animate,blogger,bloggers,,modern
animate,boa constrictor,boa constrictors,,
animate,boar,boars,,
animate,bobcat,bobcat,,
animate,body builder,body builder,,modern
animate,boy,boys,,
animate,brewer,brewer,,
animate,brigand,brigand,,historic
animate,brother,brothers,,
animate,brother-in-law,brothers-in-law,,
animate,bug,bug,,
animate,bull,bulls,,
animate,bully,bully,,
animate,burglar,burglars,,
animate,businessman,businessmen,,
animate,businesswoman,businesswomen,,
animate,butler,butler,,
animate,butterfly,butterflies,,
animate,cabin boy,cabin boys,,historic
animate,cactus,cacti,,
animate,calf,calves,,
animate,caliph,caliphs,,
animate,capitalist,capitalists,,modern
animate,captain,captains,,
animate,capybara,capybaras,,
animate,carpenter,carpenters,,
animate,cartographer,cartograhpers,,
animate,cashier,cashiers,,modern
animate,cat,cats,,
animate,caterpillar,caterpillars,,
animate,cave man,cave men,,
animate,cave woman,cave women,,
animate,celebrity,celebrities,,modern
animate,centaur,centaurs,,fantasy
animate,centurion,centurions,,historic
animate,CEO,CEOs,,modern
animate,CFO,CFOs,,modern
animate,chancellor,chancellors,,
animate,chaplain,chaplains,,
animate,chauffeur,chauffeurs,,modern
animate,cheerleader,cheerleaders,,modern
animate,cheetah,cheetahs,,
animate,chef,chefs,,
animate,chemist,chemists,,
animate,cherub,cherubim,,fantasy
animate,chessmaster,chessmasters,,modern
animate,chicken,chickens,,
animate,chieftan,chieftans,,historic
animate,child,children,,
animate,chimera,chimeras,,fantasy
animate,chipmunk,chipmunks,,
animate,cinematographer,cinematographers,,modern
animate,clam,clams,,
animate,clown,clowns,,
animate,cobra,cobras,,
animate,coelacanth,coelacanths,,
animate,comedian,comedians,,
animate,communist,communists,,modern
animate,con artist,con artists,,
animate,concierge,concierges,,modern
animate,concubine,concubines,,historic
animate,construction worker,construction workers,,modern
animate,cook,cooks,,
animate,cop,cops,,modern
animate,cosmonaut,cosmonauts,,modern
animate,count,counts,,historic
animate,countess,countesses,,historic
animate,courier,couriers,,
animate,courtesan,courtesans,,
animate,cousin,cousins,,
animate,cow,cows,,
animate,cowboy,cowboys,,modern
animate,cowgirl,cowgirls,,modern
animate,coyote,coyotes,,
animate,cricket,crickets,,
animate,crow,crows,,
animate,crusader,crusaders,historic,
animate,CTO,CTOs,,modern
animate,cyclist,cyclists,,
animate,cyclops,cyclopes,,fantasy
